Insectendoosnaam,soortnaam,aantal,volgnr
Insectendoos 01-01,Carabus anatolicus,8,1880
Insectendoos 01-01,Carabus albrechti okumurai,4,1881
Insectendoos 01-01,Carabus awashimae,2,1882
Insectendoos 01-01,Carabus rumelicus,1,1883
Insectendoos 01-01,Carabus morio,5,1884
Insectendoos 01-01,Carabus irmasanus,2,1885
Insectendoos 01-01,Carabus torosus,1,1886
Insectendoos 01-01,Paussus favieri,2,1887
Insectendoos 01-01,Cychrus angustatus,2,1888
Insectendoos 01-01,Cychrus cylindricollis,1,1889
Insectendoos 01-01,Cychrus caraboides,8,1890
Insectendoos 01-01,Cychrus attenuatus,8,1891
Insectendoos 01-01,Cychrus italicus,6,1892
Insectendoos 01-01,Cychrus schmidti,1,1893
Insectendoos 01-02,Leistus spinibarbis,9,1829
Insectendoos 01-02,Leistus rufomarginatus,10,1830
Insectendoos 01-02,Leistus fulvibarbis,4,1831
Insectendoos 01-02,Leistus ferrugineus,10,1832
Insectendoos 01-02,Leistus terminatus,10,1833
Insectendoos 01-02,Leistus montanus,2,1834
Insectendoos 01-02,Erynebria complanata,5,1835
Insectendoos 01-02,Nebria livida,10,1836
Insectendoos 01-02,Nebria picicornis,8,1837
Insectendoos 01-02,Nebria psammodes,8,1838
Insectendoos 01-02,Nebria jockischi,3,1839
Insectendoos 01-02,Nebria rufescens,10,1840
Insectendoos 01-02,Nebria brevicollis,8,1841
Insectendoos 01-02,Nebria salina,8,1842
Insectendoos 01-02,Nebria lafresnayei,10,1843
Insectendoos 01-02,Nebria rubripes,1,1844
Insectendoos 01-02,Nebria laticollis,1,1845
Insectendoos 01-02,Nebria pictiventris,3,1846
Insectendoos 01-02,Nebria hemprichi,5,1847
Insectendoos 01-02,Nebria germari,2,1848
Insectendoos 01-02,Nebria hellwigi,1,1849
Insectendoos 01-02,Nebria hybrida,1,1850
Insectendoos 01-02,Nebria dahli,2,1851
Insectendoos 01-02,Nebria castanea,10,1852
Insectendoos 01-02,Nebria testacea,2,1853
Insectendoos 01-02,Nebria aetolica,2,1854
Insectendoos 01-02,Nebria diaphana,10,1855
Insectendoos 01-02,Notiophilus aquaticus,11,1856
Insectendoos 01-02,Notiophilus palustris,10,1857
Insectendoos 01-02,Notiophilus germinyi,1,1859
Insectendoos 01-02,Notiophilus laticollis,3,1860
Insectendoos 01-02,Notiophilus substriatus,2,1861
Insectendoos 01-02,Notiophilus biguttatus,1,1862
Insectendoos 01-02,Omophron variegatum,1,1863
Insectendoos 01-02,Omophron limbatum,10,1864
Insectendoos 01-02,Blethisa multipunctata,8,1865
Insectendoos 01-02,Elephrus pyrenoeus,12,1866
Insectendoos 01-02,Elephrus cupreus,8,1867
Insectendoos 01-02,Elephrus ruparius,8,1868
Insectendoos 01-02,Elephrus aureus,10,1869
Insectendoos 01-02,Elephrus ullrichi,1,1870
Insectendoos 01-02,Loricera pilicornis,8,1871
Insectendoos 01-02,Scarites terricola,8,1872
Insectendoos 01-02,Scarites laevigatus,8,1873
Insectendoos 01-02,Scarites planus,2,1874
Insectendoos 01-02,Scarites buparius,2,1875
Insectendoos 01-02,Scarites eurytus,1,1876
Insectendoos 01-02,Scarites occidentalis,2,1877
Insectendoos 01-02,Scarites subcylindricus,2,1878
Insectendoos 01-02,Clivina fossor,4,1879
Insectendoos 01-02,Clivina collaris,9,1880
Insectendoos 01-02,Clivina ypsilon,8,1881
Insectendoos 01-02,Clivina laevifrons,1,1882
Insectendoos 01-03,Dyschirius thoracicus,9,13
Insectendoos 01-03,Dyschirius obscurus,8,14
Insectendoos 01-03,Dyschirius nitidus,2,15
Insectendoos 01-03,Dyschirius politus,6,16
Insectendoos 01-03,Dyschirius salinus,11,17
Insectendoos 01-03,Dyschirius aeneus,2,18
Insectendoos 01-03,Dyschirius leudersi,2,19
Insectendoos 01-03,Dyschirius intermedius,1,20
Insectendoos 01-03,Dyschirius laeviusculus,5,21
Insectendoos 01-03,Dyschirius substriatus,1,22
Insectendoos 01-03,Dyschirius cylindricus,4,23
Insectendoos 01-03,Dyschirius agnatus,12,24
Insectendoos 01-03,Dyschirius luticola,2,25
Insectendoos 01-03,Dyschirius morio,1,26
Insectendoos 01-03,Dyschirius globosus,7,27
Insectendoos 01-03,Dyschirius numidicus,10,28
Insectendoos 01-03,Dyschirius chalybaeus,3,29
Insectendoos 01-03,Broscosoma relictum,2,30
Insectendoos 01-03,Broscus cephalotus,6,31
Insectendoos 01-03,Broscus nobilis,10,32
Insectendoos 01-03,Perileptus areolatus,12,33
Insectendoos 01-03,Aepus marinus,2,34
Insectendoos 01-03,Trechus secalis,1,35
Insectendoos 01-03,Trechus quadristriatus,4,36
Insectendoos 01-03,Trechus obtusus,3,37
Insectendoos 01-03,Trechus alpicola,1,38
Insectendoos 01-03,Trechus cardioderus,1,39
Insectendoos 01-03,Trechus pulchellus,1,40
Insectendoos 01-03,Trechus glacialis,4,41
Insectendoos 01-03,Trechus fairmairei,7,42
Insectendoos 01-03,Trechus gracilitarsis,4,43
Insectendoos 01-03,Trechus putzeysi,1,44
Insectendoos 01-03,Trechus mallaszianus,2,45
Insectendoos 01-03,Trechus asiaticus,14,46
Insectendoos 01-03,Lasiotrechus discus,8,47
Insectendoos 01-03,Trechoblemus micros,2,48
Insectendoos 01-03,Siagona europaea,3,49
Insectendoos 01-04,Binaghites armellinae,1,48
Insectendoos 01-04,Tachyta nana,21,49
Insectendoos 01-04,Tachys haemorrhoidalis,7,50
Insectendoos 01-04,Tachys diabrachys,10,51
Insectendoos 01-04,Tachys bistriatus,3,52
Insectendoos 01-04,Tachys walkeriana,3,53
Insectendoos 01-04,Tachys micros,8,54
Insectendoos 01-04,Tachys scutellaris,12,55
Insectendoos 01-04,Tachys parvulus,8,56
Insectendoos 01-04,Tachys centriustatus,3,57
Insectendoos 01-04,Tachys quadrisignatus,12,58
Insectendoos 01-04,Tachys centromaculatus,2,59
Insectendoos 01-04,Tachys bisulcatus,9,60
Insectendoos 01-04,Tachys sextriatus,12,61
Insectendoos 01-04,Tachys lucasii,4,62
Insectendoos 01-04,Tachys ferrugata,1,63
Insectendoos 01-04,Bembidion striatum,10,64
Insectendoos 01-04,Bembidion foraminosum,1,65
Insectendoos 01-04,Bembidion argenteolum,10,66
Insectendoos 01-04,Bembidion velox,10,67
Insectendoos 01-04,Bembidion littorale,10,68
Insectendoos 01-04,Bembidion pygmaeum,1,69
Insectendoos 01-04,Bembidion leucoscelis,1,70
Insectendoos 01-04,Bembidion nigricorne,8,71
Insectendoos 01-04,Bembidion lampros,8,72
Insectendoos 01-04,Bembidion properans,12,73
Insectendoos 01-04,Bembidion punctulatum,12,74
Insectendoos 01-04,Bembidion pallidipenne,8,75
Insectendoos 01-04,Bembidion bipunctatum,8,76
Insectendoos 01-04,Bembidion dentellum,8,77
Insectendoos 01-04,Bembidion obliquum,1,78
Insectendoos 01-04,Bembidion varium,8,79
Insectendoos 01-04,Bembidion semipunctatum,10,80
Insectendoos 01-04,Bembidion ephippium,10,81
Insectendoos 01-04,Bembidion tibiale,12,82
Insectendoos 01-04,Bembidion geniculatum,12,83
Insectendoos 01-04,Bembidion atrocoeruleum,9,84
Insectendoos 01-04,Bembidion concoeruleum,7,85
Insectendoos 01-04,Bembidion varicolor,12,86
Insectendoos 01-04,Bembidion conforme,12,87
Insectendoos 01-04,Bembidion fasciolatum,2,88
Insectendoos 01-04,Bembidion ascendens,10,89
Insectendoos 01-04,Bembidion bugnioni,8,90
Insectendoos 01-04,Bembidion coeruleum,12,91
Insectendoos 01-04,Bembidion monticola,1,92
Insectendoos 01-04,Bembidion eques,8,93
Insectendoos 01-04,Bembidion deletum,12,94
Insectendoos 01-04,Bembidion incognitum,9,95
Insectendoos 01-04,Bembidion stephensi,10,96
Insectendoos 01-04,Bembidion milleri,7,97
Insectendoos 01-04,Bembidion lunatum,1,98
Insectendoos 01-04,Bembidion bruxellense,5,99
Insectendoos 01-04,Bembidion tetracolum,12,100
Insectendoos 01-04,Bembidion subcostatum,12,101
Insectendoos 01-04,Bembidion andrea,11,102
Insectendoos 01-04,Bembidion femoratum,8,103
Insectendoos 01-04,Bembidion scapulare,12,104
Insectendoos 01-05,Bembidion latinum,11,103
Insectendoos 01-05,Bembidion testaceum,12,104
Insectendoos 01-05,Bembidion fluviatile,8,105
Insectendoos 01-05,Bembidion decorum,9,106
Insectendoos 01-05,Bembidion modestum,4,107
Insectendoos 01-05,Bembidion glaciale,1,108
Insectendoos 01-05,Bembidion tetragrammum,8,109
Insectendoos 01-05,Bembidion callosum,17,110
Insectendoos 01-05,Bembidion stomoides,10,111
Insectendoos 01-05,Bembidion ruficorne,8,112
Insectendoos 01-05,Bembidion elongatum,10,113
Insectendoos 01-05,Bembidion decoratum,8,114
Insectendoos 01-05,Bembidion inustum,1,115
Insectendoos 01-05,Bembidion schueppeli,2,116
Insectendoos 01-05,Bembidion gilvipes,4,117
Insectendoos 01-05,Bembidion fumigatum,11,118
Insectendoos 01-05,Bembidion assimile,12,119
Insectendoos 01-05,Bembidion normannum,5,120
Insectendoos 01-05,Bembidion minimum,4,121
Insectendoos 01-05,Bembidion azurescens,2,122
Insectendoos 01-05,Bembidion humerale,12,123
Insectendoos 01-05,Bembidion quadrimaculatum,12,124
Insectendoos 01-05,Bembidion quadripustulatum,7,125
Insectendoos 01-05,Bembidion doris,9,126
Insectendoos 01-05,Bembidion articulatum,9,127
Insectendoos 01-05,Bembidion octomaculatum,6,128
Insectendoos 01-05,Bembidion obtusum,1,129
Insectendoos 01-05,Bembidion biguttatum,12,130
Insectendoos 01-05,Bembidion inoptatum,5,131
Insectendoos 01-05,Bembidion aeneum,2,132
Insectendoos 01-05,Bembidion mannerheimi,8,133
Insectendoos 01-05,Bembidion guttula,2,134
Insectendoos 01-05,Bembidion lunulatum,8,135
Insectendoos 01-05,Bembidion iricolor,3,136
Insectendoos 01-05,Bembidion egregium,10,137
Insectendoos 01-05,Bembidion axillare,1,138
Insectendoos 01-05,Bembidion praestum,8,139
Insectendoos 01-05,Bembidion maculatum,1,140
Insectendoos 01-05,Bembidion laetum,1,141
Insectendoos 01-05,Bembidion pyrenaeum,12,142
Insectendoos 01-05,Bembidion vicinum,4,143
Insectendoos 01-05,Bembidion complanatum,5,144
Insectendoos 01-05,Bembidion siculum,9,145
Insectendoos 01-05,Bembidion grandipenne,1,146
Insectendoos 01-05,Bembidion cordicolle,1,147
Insectendoos 01-05,Bembidion vsteckai,1,148
Insectendoos 01-05,Bembidion splendidum,2,149
Insectendoos 01-05,Bembidion tursicus,1,150
Insectendoos 01-05,Bembidion menetriesi,18,151
Insectendoos 01-06,Cillenus lateralis,3,152
Insectendoos 01-06,Ocys harpaloides,8,153
Insectendoos 01-06,Asaphidion caraboides,9,154
Insectendoos 01-06,Asaphidion pallipes,1,155
Insectendoos 01-06,Asaphidion curtum,12,156
Insectendoos 01-06,Asaphidion flavipes,10,157
Insectendoos 01-06,Asaphidion flavicorne,2,158
Insectendoos 01-06,Pogonus luridipennis,1,159
Insectendoos 01-06,Pogonus gilvipes,3,160
Insectendoos 01-06,Pogonus chalceus,10,161
Insectendoos 01-06,Pogonus litoralis,10,162
Insectendoos 01-06,Pogonus smaragdinus,12,163
Insectendoos 01-06,Pogonus grayi,2,164
Insectendoos 01-06,Pogonus gracilis,8,165
Insectendoos 01-06,Pogonus filiformis,3,166
Insectendoos 01-06,Pogonus pallidipennis,5,167
Insectendoos 01-06,Pogonus testaceus,10,168
Insectendoos 01-06,Pogonus rufoaeneus,12,169
Insectendoos 01-06,Pogonus iridipennis,1,170
Insectendoos 01-06,Patrobus atrorufus,8,171
Insectendoos 01-06,Deltomerus tatricus,1,172
Insectendoos 01-06,Deltomerus rufipennis,1,173
Insectendoos 01-06,Perigona nigriceps,1,174
Insectendoos 01-06,Dixus clypeatus,10,175
Insectendoos 01-06,Dixus capito,2,176
Insectendoos 01-06,Dixus spherocephalus,3,177
Insectendoos 01-06,Dixus obscurus,7,178
Insectendoos 01-06,Dixus eremita,3,179
Insectendoos 01-06,Anisodactylus binotatus,8,180
Insectendoos 01-06,Anisodactylus nemorivagus,2,181
Insectendoos 01-06,Anisodactylus signatus,1,182
Insectendoos 01-06,Anisodactylus poeciloides,1,183
Insectendoos 01-06,Anisodactylus heros,1,184
Insectendoos 01-06,Gynandromorphus etruscus,1,185
Insectendoos 01-06,Diachromus germanus,5,186
Insectendoos 01-06,Carterus fulvipes,1,187
Insectendoos 01-06,Carterus calydonius,6,188
Insectendoos 01-06,Carterus amicorum,1,189
Insectendoos 01-06,Carterus cephalotus,1,190
Insectendoos 01-06,Carterus cordatus,1,191
Insectendoos 01-06,Carterus robustus,4,192
Insectendoos 01-07,Trichotichnus laevicollis,10,192
Insectendoos 01-07,Trichotichnus nitens,3,193
Insectendoos 01-07,Trichotichnus rimanus,4,194
Insectendoos 01-07,Harpalus cephalotus,1,195
Insectendoos 01-07,Harpalus flavescens,4,196
Insectendoos 01-07,Harpalus froelichi,1,197
Insectendoos 01-07,Harpalus affinis,10,198
Insectendoos 01-07,Harpalus distinguendus,5,199
Insectendoos 01-07,Harpalus smaragdinus,1,200
Insectendoos 01-07,Harpalus dimidiatus,4,201
Insectendoos 01-07,Harpalus attenuatus,1,202
Insectendoos 01-07,Harpalus atratus,1,203
Insectendoos 01-07,Harpalus solitaris,1,204
Insectendoos 01-07,Harpalus latus,1,205
Insectendoos 01-07,Harpalus marginellus,5,206
Insectendoos 01-07,Harpalus rubripes,1,207
Insectendoos 01-07,Harpalus sulphuripes,5,208
Insectendoos 01-07,Harpalus honestus,8,209
Insectendoos 01-07,Harpalus rufipalpis,3,210
Insectendoos 01-07,Harpalus neglectus,1,211
Insectendoos 01-07,Harpalus autumnalis,1,212
Insectendoos 01-07,Harpalus melancholicus,1,213
Insectendoos 01-07,Harpalus picipennis,2,214
Insectendoos 01-07,Harpalus pumilus,1,215
Insectendoos 01-07,Harpalus servus,1,216
Insectendoos 01-07,Harpalus politus,1,217
Insectendoos 01-07,Harpalus tardus,2,218
Insectendoos 01-07,Harpalus modestus,2,219
Insectendoos 01-07,Harpalus anxius,3,220
Insectendoos 01-07,Harpalus subcylindricus,1,221
Insectendoos 01-07,Harpalus serripes,10,222
Insectendoos 01-07,Harpalus punctipennis,2,223
Insectendoos 01-07,Ophonus subulicola,3,224
Insectendoos 01-07,Ophonus oblongus,1,225
Insectendoos 01-07,Ophonus stictus,10,226
Insectendoos 01-07,Ophonus ardosiacus,6,227
Insectendoos 01-07,Ophonus subquadratus,2,228
Insectendoos 01-07,Ophonus ribricollis,2,229
Insectendoos 01-07,Ophonus azureus,1,230
Insectendoos 01-07,Ophonus rufibarbis,4,231
Insectendoos 01-07,Ophonus schaubergerianus,9,232
Insectendoos 01-07,Ophonus cordatus,2,233
Insectendoos 01-07,Ophonus nitidulus,1,234
Insectendoos 01-07,Ophonus puncticollis,6,235
Insectendoos 01-07,Ophonus melleti,1,236
Insectendoos 01-07,Ophonus rupicola,1,237
Insectendoos 01-07,Ophonus puncticeps,10,238
Insectendoos 01-07,Ophonus rotundatus,1,239
Insectendoos 01-07,Pseudoophonus rufipes,8,240
Insectendoos 01-07,Pseudoophonus griseus,10,241
Insectendoos 01-07,Pseudoophonus calceatus,2,242
Insectendoos 01-08,Abacetus salzmanni,10,243
Insectendoos 01-08,Acinopus picipes,8,244
Insectendoos 01-08,Acinopus megacephalus,4,245
Insectendoos 01-08,Acinopus ammophilus,6,246
Insectendoos 01-08,Tapinopterus creticus,1,247
Insectendoos 01-08,Tapinopterus monastirensis,1,248
Insectendoos 01-08,Tapinopterus laticornis,15,249
Insectendoos 01-08,Stenolophus teutonus,8,250
Insectendoos 01-08,Stenolophus skrimshiranus,8,251
Insectendoos 01-08,Stenolophus discophorus,12,252
Insectendoos 01-08,Stenolophus mixtus,10,253
Insectendoos 01-08,Dicheirotrichus gustavi,8,254
Insectendoos 01-08,Dicheirotrichus obsoletus,8,255
Insectendoos 01-08,Dicheirotrichus pallidus,5,256
Insectendoos 01-08,Trichocellus placidus,3,257
Insectendoos 01-08,Trichocellus cognatus,3,258
Insectendoos 01-08,Bradycellus verbasci,1,259
Insectendoos 01-08,Bradycellus sharpii,1,260
Insectendoos 01-08,Bradycellus harpalinus,8,261
Insectendoos 01-08,Bradycellus csikii,1,262
Insectendoos 01-08,Bradycellus caucasicus,4,263
Insectendoos 01-08,Acupalpus elegans,5,264
Insectendoos 01-08,Acupalpus flavicollis,5,265
Insectendoos 01-08,Acupalpus brunnipes,3,266
Insectendoos 01-08,Acupalpus meridianus,8,267
Insectendoos 01-08,Acupalpus parvulus,10,268
Insectendoos 01-08,Acupalpus maculatus,2,269
Insectendoos 01-08,Acupalpus dubius,3,270
Insectendoos 01-08,Acupalpus luteatus,5,271
Insectendoos 01-08,Acupalpus exiguus,8,272
Insectendoos 01-08,Acupalpus notatus,6,273
Insectendoos 01-08,Anthracus consputus,1,274
Insectendoos 01-08,Amblystomus picinus,1,275
Insectendoos 01-08,Egadroma marginata,3,276
Insectendoos 01-08,Stomis pumicatus,2,277
Insectendoos 01-08,Stomis rostratus,9,278
Insectendoos 01-08,Poecilus kugelanni,3,279
Insectendoos 01-08,Poecilus koyi,4,280
Insectendoos 01-08,Poecilus sericeus,2,281
Insectendoos 01-08,Poecilus lepidus,16,282
Insectendoos 01-08,Poecilus cupreus,8,283
Insectendoos 01-08,Poecilus versicolor,8,284
Insectendoos 01-08,Poecilus cursorius,2,285
Insectendoos 01-09,Aphaenops crypticola,3,285
Insectendoos 01-09,Aphaenops hustachei,1,286
Insectendoos 01-09,Aphaenops cerberus,10,287
Insectendoos 01-09,Aphaenops pluto,11,288
Insectendoos 01-09,Aphaenops jeanneli,10,289
Insectendoos 01-09,Aphaenops leschenaulti,13,290
Insectendoos 01-09,Aphaenops vandeli,14,291
Insectendoos 01-09,Aphaenops cabidochei,5,292
Insectendoos 01-09,Aphaenops loubensi,2,293
Insectendoos 01-09,Speotrechus mayeti,10,294
Insectendoos 01-09,Boldoriella carminatii,8,295
Insectendoos 01-09,Boldoriella carminatii bucciarella,2,296
Insectendoos 01-09,Boldoriella humeralis,5,297
Insectendoos 01-09,Boldoriella humeralis boldorii,10,298
Insectendoos 01-09,Boldoriella knauthi binaghii,1,299
Insectendoos 01-09,Boldoriella gratiae,1,300
Insectendoos 01-09,Boldoriella monguzzi,1,301
Insectendoos 01-09,Allegrettia boldorii,1,302
Insectendoos 01-09,Allegrettia pavani,2,303
Insectendoos 01-09,Neotrechus suturalis,4,304
Insectendoos 01-09,Orotrechus giordani,12,305
Insectendoos 01-09,Orotrechus fabianii,12,306
Insectendoos 01-09,Orotrechus robustus,4,307
Insectendoos 01-09,Orotrechus targionii pasubianus,1,308
Insectendoos 01-09,Orotrechus targioni alticola,1,309
Insectendoos 01-09,Orotrechus ganglbaueri,10,310
Insectendoos 01-09,Orotrechus holdausii,8,311
Insectendoos 01-09,Orotrechus holdausii buchiarella,5,312
Insectendoos 01-09,Orotrechus venitianus cellinea,1,313
Insectendoos 01-09,Orotrechus venitianus,1,314
Insectendoos 01-09,Orotrechus stephani roboretanus,1,315
Insectendoos 01-09,Orotrechus cavallensis,12,316
Insectendoos 01-09,Orotrechus fortii,2,317
Insectendoos 01-09,Orotrechus ruffoi,1,318
Insectendoos 01-09,Orotrechus pomini,1,319
Insectendoos 01-09,Orotrechus gestroi,4,320
Insectendoos 01-09,Orotrechus springeri,12,321
Insectendoos 01-09,Orotrechus jucci,4,322
Insectendoos 01-09,Orotrechus jamae,1,323
Insectendoos 01-09,Orotrechus forojulentis,2,324
Insectendoos 01-09,Orotrechus montisragogna,1,325
Insectendoos 01-09,Orotrechus terretassoi,14,326
Insectendoos 01-09,Orotrechus winkleri,12,327
Insectendoos 01-09,Orotrechus longicornis,1,328
Insectendoos 01-09,Trichaphaenops gounelli,3,329
Insectendoos 01-09,Trichaphaenops launi marguareisensis,1,330
Insectendoos 01-09,Anophtalmus tolminensis,1,331
Insectendoos 01-09,Anophtalmus erebus,1,332
Insectendoos 01-09,Duvalius delphinensis,2,333
Insectendoos 01-09,Duvalius balazuci,3,334
Insectendoos 01-09,Duvalius adamellensis,8,335
Insectendoos 01-09,Duvalius baldensis cartolarii,6,336
Insectendoos 01-09,Duvalius boldorii leonidae,4,337
Insectendoos 01-09,Duvalius boldorii veghezzae,1,338
Insectendoos 01-09,Duvalius bonadonius,3,339
Insectendoos 01-09,Duvalius brujasi,2,340
Insectendoos 01-09,Duvalius coraginis hypochaeus,2,341
Insectendoos 01-09,Duvalius lemairei,3,342
Insectendoos 01-09,Duvalius longii,1,343
Insectendoos 01-09,Duvalius ochsi,3,344
Insectendoos 01-09,Duvalius vaccai,1,345
Insectendoos 01-09,Duvalius wingelmulleri,1,346
Insectendoos 01-09,Duvalius winklerianus brescianus,10,347
Insectendoos 01-09,Duvalius boldorii,12,348
Insectendoos 01-09,Duvalius procerus,2,349
Insectendoos 01-09,Italaphaenops dimaioi,1,350
Insectendoos 01-09,Anillus caecus,1,351
Insectendoos 01-09,Typhlotrechus bilimeki,12,352
Insectendoos 01-10,Pterostichus unctulatus,7,352
Insectendoos 01-10,Pterostichus subsinuatus,1,353
Insectendoos 01-10,Pterostichus pumilio,5,354
Insectendoos 01-10,Pterostichus brevis,1,355
Insectendoos 01-10,Pterostichus blumenthali,1,356
Insectendoos 01-10,Pterostichus strenuus,10,357
Insectendoos 01-10,Pterostichus diligens,3,358
Insectendoos 01-10,Pterostichus vernalis,10,359
Insectendoos 01-10,Pterostichus nigrita,8,360
Insectendoos 01-10,Pterostichus anthracinus,1,361
Insectendoos 01-10,Pterostichus minor,4,362
Insectendoos 01-10,Pterostichus macer,1,363
Insectendoos 01-10,Pterostichus oblongopunctatus,8,364
Insectendoos 01-10,Pterostichus quadrifoveolatus,1,365
Insectendoos 01-10,Pterostichus melanarius,8,366
Insectendoos 01-10,Pterostichus aterrimus,4,367
Insectendoos 01-10,Pterostichus niger,6,368
Insectendoos 01-10,Pterostichus madidus,12,369
Insectendoos 01-10,Pterostichus melas,8,370
Insectendoos 01-10,Pterostichus burmeisterie,8,371
Insectendoos 01-10,Pterostichus burmeisterie ssp. baldensis,8,372
Insectendoos 01-10,Pterostichus selmanni,8,373
Insectendoos 01-10,Pterostichus variolatus,4,374
Insectendoos 01-10,Pterostichus jurinei,10,375
Insectendoos 01-10,Pterostichus morio,10,376
Insectendoos 01-10,Pterostichus multipunctatus,10,377
Insectendoos 01-10,Pterostichus fasciatopunctatus,8,378
Insectendoos 01-10,Pterostichus ziegleri,1,379
Insectendoos 01-10,Pterostichus panzeri,2,380
Insectendoos 01-10,Pterostichus cristatus,8,381
Insectendoos 01-10,Pterostichus hagenbachi,5,382
Insectendoos 01-10,Pterostichus bicolor,8,383
Insectendoos 01-10,Pterostichus globosus,2,384
Insectendoos 01-10,Pterostichus femoratus,6,385
Insectendoos 01-10,Pterostichus dufouri,2,386
Insectendoos 01-10,Pterostichus amaroides,2,387
Insectendoos 01-10,Pterostichus abacoides,2,388
Insectendoos 01-10,Pterostichus xatarti,8,389
Insectendoos 01-10,Pterostichus funestes,8,390
Insectendoos 01-10,Pterostichus fossulatus,1,391
Insectendoos 01-10,Pterostichus crenatus,1,392
Insectendoos 01-10,Pterostichus boisgiraudi,8,393
Insectendoos 01-10,Pterostichus yvani,1,394
Insectendoos 01-11,Pterostichus truncatus,3,395
Insectendoos 01-11,Pterostichus schmidti,1,396
Insectendoos 01-11,Pterostichus vagepunctatus,2,397
Insectendoos 01-11,Pterostichus impressicollis,1,398
Insectendoos 01-11,Pterostichus amoenus,5,399
Insectendoos 01-11,Percus villai,1,400
Insectendoos 01-11,Percus strictus,1,401
Insectendoos 01-11,Troglorites ochsi,1,402
Insectendoos 01-11,Speluncarius stephani,5,403
Insectendoos 01-11,Myas chalybaeus,2,404
Insectendoos 01-11,Molops elatus,2,405
Insectendoos 01-11,Molops piceus,7,406
Insectendoos 01-11,Molops austricus,10,407
Insectendoos 01-11,Molops ovipennis,8,408
Insectendoos 01-11,Molops striolatus,8,409
Insectendoos 01-11,Lychnifugus cerberus,4,410
Insectendoos 01-11,Abax parallelepipedus,8,411
Insectendoos 01-11,Abax parallelus,5,412
Insectendoos 01-11,Abax ovalis,8,413
Insectendoos 01-11,Abax carinatus,4,414
Insectendoos 01-11,Abax schueppeli,1,415
Insectendoos 01-11,Abax pyrenaeus,2,416
Insectendoos 01-11,Platyderus ruficollis,2,417
Insectendoos 01-11,Synuchus vivalis,4,418
Insectendoos 01-11,Calathus fuscipes,7,419
Insectendoos 01-11,Calathus longicollis,10,420
Insectendoos 01-11,Calathus erratus,8,421
Insectendoos 01-11,Calathus ambiguus,2,422
Insectendoos 01-11,Calathus granatensis,1,423
Insectendoos 01-11,Calathus micropterus,9,424
Insectendoos 01-11,Calathus melanocephalus,9,425
Insectendoos 01-11,Calathus ochropterus,4,426
Insectendoos 01-11,Calathus rotundicollis,8,427
Insectendoos 01-11,Calathus hispanicus,1,428
Insectendoos 01-11,Dolichus halensis,1,429
Insectendoos 01-11,Sphodrus leucophthalmus,1,430
Insectendoos 01-11,Laemostenus janthinus,8,431
Insectendoos 01-11,Laemostenus terricola,4,432
Insectendoos 01-11,Laemostenus pisidicus,2,433
Insectendoos 01-11,Laemostenus complanatus,2,434
Insectendoos 01-11,Laemostenus oblongus,12,435
Insectendoos 01-11,Euthosphodrus navaricus,5,436
Insectendoos 01-11,Sphodropsis ghiliani,6,437
Insectendoos 01-11,Antisphodrus schreibersi,12,438
Insectendoos 01-11,Antisphodrus cavicola,2,439
Insectendoos 01-11,Antisphodrus reissi,1,440
Insectendoos 01-11,Antisphodrus boldorii,10,441
Insectendoos 01-11,Antisphodrus insubricus,1,442
Insectendoos 01-12,Olistophus roduntatus,8,443
Insectendoos 01-12,Olistophus glabricollis,4,444
Insectendoos 01-12,Olistophus elongatus,2,445
Insectendoos 01-12,Agonum impressum,1,446
Insectendoos 01-12,Agonum sexpunctatum,8,447
Insectendoos 01-12,Agonum ericeti,8,448
Insectendoos 01-12,Agonum viridicupreum,17,449
Insectendoos 01-12,Agonum marginatum,8,450
Insectendoos 01-12,Agonum muelleri,8,451
Insectendoos 01-12,Agonum viduum,10,452
Insectendoos 01-12,Agonum moestum,8,453
Insectendoos 01-12,Agonum nigrum,2,454
Insectendoos 01-12,Agonum lugens,1,455
Insectendoos 01-12,Agonum livens,10,456
Insectendoos 01-12,Agonum micans,2,457
Insectendoos 01-12,Agonum piceum,10,458
Insectendoos 01-12,Agonum gracile,6,459
Insectendoos 01-12,Agonum fuliginosum,8,460
Insectendoos 01-12,Agonum pelidnum,8,461
Insectendoos 01-12,Platynus scrobiculatus,4,462
Insectendoos 01-12,Platynus assimilis,8,463
Insectendoos 01-12,Platynus albipes,8,464
Insectendoos 01-12,Platynus obscurus,8,465
Insectendoos 01-12,Platynus cyaneus,10,466
Insectendoos 01-12,Platynus dorsalis,8,467
Insectendoos 01-12,Platynus teriolensis,8,468
Insectendoos 01-12,Platynus peirolerii,10,469
Insectendoos 01-12,Zabrus tenebrioides,2,470
Insectendoos 01-12,Zabrus obesus,8,471
Insectendoos 01-12,Zabrus inflatus,1,472
Insectendoos 01-12,Zabrus ignavus,1,473
Insectendoos 01-12,Zabrus asiaticus,4,474
Insectendoos 01-12,Zabrus politus,6,475
Insectendoos 01-12,Zabrus oertzeni,1,476
Insectendoos 01-12,Zabrus graecus,2,477
Insectendoos 01-12,Zabrus trinii,5,478
Insectendoos 01-12,Zabrus rotundicollis,6,479
Insectendoos 01-12,Zabrus blapoides,1,480
Insectendoos 01-12,Zabrus iconiensis,1,481
Insectendoos 01-13,Amara plebeja,10,482
Insectendoos 01-13,Amara tricuspidata,1,483
